,Level,Question,isMCQ,A,B,C,D,Subject,Year,School,Exam,Number,Image,Image File
17,P6,"Kea 7
Gir Se a ie.. swimming board
DRS eries ve
ae ae een
Toa gern Sears
IE ie, ERS .
. RET iWhich of the following is themost important property of the material to make the
swimming board?",,"(1) strong

","(2) flexible

","(3) transparent

",(4) cannot sink in water,SCIENCE,2018,tao_nan_exam_papers,SA2,17,Yes,;TempImages/39.jpg
18,P6,"Which of the following is irue7G) Xand Z ase solids at 10°C.

: 2) Yand Z are liquids at 20°C.
",,"(3) Y and Z are liquids at 80°C.
",{4) Xand Y are gases at 100°C.,,,SCIENCE,2018,tao_nan_exam_papers,SA2,18,No,
19,P6,"21. Two identical bulbs, Buib A.and-Bulb 6, are.connected.in.a circuit as shown.
below. Both buibs light up with equal brightness when the switch is closed.",,,,,,SCIENCE,2018,tao_nan_exam_papers,SA2,19,Yes,TempImages/38.jpg;TempImages/37.jpg
20,P6,,,"(4) Bulb C does not light up.

","(2) Bulb C is as bright as Bulb A.
","(3) Bulb Cis dimmer than Bulb B.
",(4). Bulb C js brighter than Bulb A.,SCIENCE,2018,tao_nan_exam_papers,SA2,20,Yes,TempImages/42.jpg;TempImages/41.jpg;TempImages/40.jpg
21,P6,,,"(3)
fC
le OS)
—_ -& 4%
: Oa)",,,,SCIENCE,2018,tao_nan_exam_papers,SA2,21,Yes,TempImages/47.jpg
22,P6,"north pole of
‘small magnetAndy brought 2 magnets near each other. He observed their movements as
shown below.He placed a compass at B and observed the position of its needle which is as
shown below.VVhich of the Tollowing are possibie poles of A and C?",,"(3) [ ——-Nenth h_ “North

_ a) | OC Nonh™ “South",,,,SCIENCE,2018,tao_nan_exam_papers,SA2,22,Yes,;TempImages/46.jpg;TempImages/45.jpg;TempImages/44.jpg;TempImages/43.jpg
23,P6,"‘When the toy car was releaséd at point Y, it would roll down the slope. When
the toy car was released at point Z, it continued to move up the slope. Which
ara-ttie forces-acting on the-toy:carat points. and 2:Which of the following exptains why his speed increases as he moves down the
slope",,(4),"(1) His weight increases.

","(2) More gravity Is pulling the man and the bicycle. .

","{3) - There is less frictional force between the bicycle and the slope.

44) The man and the bicycle are moving in the same direction as gravity.",SCIENCE,2018,tao_nan_exam_papers,SA2,23,Yes,TempImages/50.jpg;TempImages/49.jpg;TempImages/48.jpg;TempImages/55.jpg;TempImages/54.jpg;TempImages/53.jpg;TempImages/52.jpg;TempImages/51.jpg
24,P6,") eee ) BE
WY Ribas . 3
_ aa",,"(3) pry ro
| AD ) @ 1
iy",,,,SCIENCE,2018,tao_nan_exam_papers,SA2,24,Yes,TempImages/57.jpg;TempImages/56.jpg
25,P6,Which is the energy‘conversion shown above?,,{1} potential eneray of boy > kinetic energy of trolley,"(2) kinetic energy of boy > potential energy of troliey
~ kinetic energy of trolley","(3) potential energy of boy > kinetic energy of boy
> kinetic energy of trolley","(4) kinetic energy of boy > potential energy of boy
~ kinetic energy of trolley ; :",SCIENCE,2018,tao_nan_exam_papers,SA2,25,Yes,;TempImages/59.jpg;TempImages/58.jpg;TempImages/62.jpg;TempImages/61.jpg;TempImages/60.jpg
26,P6,"Aiter two days, he observed tnat some of the seeds in the set-up germinated and
a the limewater.turned milky. Limewater turns milky in the presence of carbon. :
“dioxide. . it 7(a) Explain why the limewater turned milky.(b) Some of the seeds did not germinate. What will hapnen to these seeds after a
week? Explain your answer. . ",,[2],,,,SCIENCE,2018,tao_nan_exam_papers,SA2,26,Yes,;TempImages/64.jpg;TempImages/63.jpg
27,P6,"position P and the food-carrying tubes from the stem at position Q.(a) After some time, Emily observed that Leaf X had withered but not Leaf Z.
Give an explanation for her observation.(b) At the same time, Emily also observed a swelling in the stem above the cut
at position Q. Affer a week, the plant died. Explain why this happened.
uo ",,{1],,,,SCIENCE,2018,tao_nan_exam_papers,SA2,27,Yes,;TempImages/66.jpg;TempImages/65.jpg
28,P6,"graph below.
: Ali starts dancing0.5 1.
8 Time (min)Gi} Alls breathing rate33.. Leaves have tiny openings called stomata on their surfaces.",,,,,,SCIENCE,2018,tao_nan_exam_papers,SA2,28,Yes,;TempImages/69.jpg;TempImages/68.jpg;TempImages/67.jpg
29,P6,"(a) Based on the table above, ihe plant photosynthesises the most from 10 a.m.
to 4 p.m. Explain why. t’",,"(6) Explain how the change in the size of the stomata in the presence of light can
be a disadvantage to a plant growing in a desert, fi}",,,,SCIENCE,2018,tao_nan_exam_papers,SA2,29,Yes,TempImages/73.jpg;TempImages/72.jpg;TempImages/71.jpg;TempImages/70.jpg
30,P6,"(a) A large number of snakes were killed Dy some hunters. Expiain how this
. activity affected the population of the food producer. “(b) A huge forest fire broke out on the island. Two. consumers were able to escape
to another island. Which are the two consumers and give a reason for your35. Jack conducted an-expenment using two similar types of plants for pots G and H,
with different sizes of leaves. The two pots of plants with the same amount of soil
were placed in a garden and watered with the same amount of water at the start
of the experiment. A transparent glass cone was placed over each plant where
water would be collected al the base as shown.",,,,,,SCIENCE,2018,tao_nan_exam_papers,SA2,30,Yes,TempImages/76.jpg;TempImages/75.jpg;TempImages/74.jpg
31,P6,"After one day, Jack measured the volume of water collected and recorded the
results as shown below”(a) Which pot, G or H, collected more water? Explain why more water was
collected at Hts base of the cone.The diagram below shows two types of leaves found growing on different trees, X
and Y. During winter, the water stays frozen as snow on the ground and very little
water reaches the roots of the trees. ,$1
We
SEN
Pt |
ENA eee
Sern Ny”
OME NI RU ees :
ee “ |
OP a eur. Oe ee
CREATAS RK ~
as A(b) Which tree, X or Y, will not need to shed its ieaves during winter? : .
Explain your answer. ; iy(c) Strong winds can causé tree ‘pranches to break. Branches of which tree,
X or Y, would more likely break when there js a strong wind? Explain why.36. The joliowing set-up represents ihe water cycle.",,,,,,SCIENCE,2018,tao_nan_exam_papers,SA2,31,Yes,TempImages/79.jpg;TempImages/78.jpg;TempImages/77.jpg;TempImages/83.jpg;TempImages/82.jpg;TempImages/81.jpg;TempImages/80.jpg
32,P6,"(a) Explain how the water droplets are formed on the underside of the plastic
sheet. ",,{2},,,,SCIENCE,2018,tao_nan_exam_papers,SA2,32,Yes,TempImages/85.jpg;TempImages/84.jpg
33,P6,"He measured the brightness of the bulb with a light sensor. He then added

another battery and measured the brightness of the bulb. He repeated the

. experiment for different number of batteries and recorded his measurements
: - -- In the table below. a(a) What is a possible measurement tor the brightness of the bulb when three
batteries were used? {11(b} Based on the resulis, when the number of batteries used is four or below
what is the relationship between the brightness of the bulb and the number of
batteries? 4}(c) Give a reason why the brighiness. of the bulb Is zero when five batteries were
used. : £4738. Matihew had 2 set-ups, A and B, to find out how the type of surface affects
- the distance moved by an object on'the surface. He applied equal force on
each of the blocks and measured the distance. travelled by them.",,,,,,SCIENCE,2018,tao_nan_exam_papers,SA2,33,Yes,TempImages/88.jpg;TempImages/87.jpg;TempImages/86.jpg
34,P6,"(a) Matthew's teacher said that his set-ups were incorrect. Desenbe two changes
- that- Matthew shoutd make fo Set-up.B so that he can test his aim correctly.(b) Besides friction and the force exeried by Matthew, which other force is
present in this experiment? {17Matthew now placed two identical blocks, A and B,; each on a wooden
surface. He-applied oif onto one-of the wooden'surfaces as shown below, -39. The diagram below. shows two similar sized iron cubes. released from point X.
There was a loud thud when the cubes landed on-the cement floor.",,,,,,SCIENCE,2018,tao_nan_exam_papers,SA2,34,Yes,TempImages/90.jpg;TempImages/89.jpg;TempImages/93.jpg;TempImages/92.jpg;TempImages/91.jpg
35,P6,"cement floor(a) State the energy conversion when Cube A was released from the height and
landed on the cement floor. : y40. The following set-up is installed along a corridor to count the number of
students walking along the corridor into a classroom. :The following table shows the light sensor readings when the set-up 's
working.",,"(6) Explain how the above set-up is able to detect the number of peopie waiking
past the corridor. . . ",[2],,,SCIENCE,2018,tao_nan_exam_papers,SA2,35,Yes,TempImages/96.jpg;TempImages/95.jpg;TempImages/94.jpg;TempImages/101.jpg;TempImages/100.jpg;TempImages/99.jpg;TempImages/98.jpg;TempImages/97.jpg
36,P6,"She recorded the temperature of the water at regular intervals in the table as
shown below.(a) How. does the temperature of the water in the container wrapped. with
Fabric X change as the time increases? (7(b) Which fabric should’ Meiling use to make a shirt to keep a person cooler in a
warm surrounding? Explain your choice. ",,{2),{1},,,SCIENCE,2018,tao_nan_exam_papers,SA2,36,Yes,TempImages/105.jpg;TempImages/104.jpg;TempImages/103.jpg;TempImages/102.jpg;TempImages/110.jpg;TempImages/109.jpg;TempImages/108.jpg;TempImages/107.jpg;TempImages/106.jpg;TempImages/113.jpg;TempImages/112.jpg;TempImages/111.jpg;TempImages/118.jpg;TempImages/117.jpg;TempImages/116.jpg;TempImages/115.jpg;TempImages/114.jpg
